Column1;Column2;Column3;Column4;Column5;Column6
year;network;name;degree_norm;strength_norm;betweenness_norm
2017;hardware;NLD;0.884848484848485;0.185468089308614;0.857680701915109
2017;hardware;USA;1;0.502185516413911;0.964139585451235
2017;hardware;CHN;0.975757575757576;1;1
2017;hardware;FRA;0.872727272727273;0.034036427084173;0.701196363108382
2020;hardware;NLD;0.88;0.158788521950713;0.646500147440499
2020;hardware;USA;1;0.549672898907623;1
2020;hardware;CHN;0.954285714285714;1;0.656710761147051
2020;hardware;DEU;0.971428571428571;0.0884407220344567;0.681560851513422
2023;hardware;CHN;0.915254237288136;1;0.284219705928894
2023;hardware;DEU;0.977401129943503;0.117293058391381;1
2023;hardware;USA;1;0.248746082415658;0.603042538933433
2023;hardware;FRA;0.887005649717514;0.0235222379581176;0.645166555989122
2023;hardware;NLD;0.88135593220339;0.0686361605447045;0.515243680641064
2017;data;SWE;0.72972972972973;0.0540274045178754;0.211886828225693
2017;data;GBR;0.810810810810811;0.719418798904314;0.471938740580779
2017;data;ITA;0.648648648648649;0.0709927596296498;0.186703148813698
2017;data;USA;1;1;1
2020;data;RUS;1;0.0308196407835172;0.890521406791825
2020;data;SWE;0.774647887323944;0.0439456477055353;0.197239247389511
2020;data;GBR;0.873239436619718;0.967676950677264;0.533923305982952
2020;data;USA;0.943661971830986;1;1
2023;data;GBR;0.885714285714286;0.706074242705045;0.367664650810013
2023;data;NLD;0.828571428571429;0.759327960696633;0.287201282743231
2023;data;USA;1;1;1
2023;data;DEU;0.6;0.540442825544042;0.15418186663447
